,firstSeen,askPrice,isNew,color,brandName,modelName,vf_Seats,vf_WheelBaseShort,vf_Wheels,vf_Windows
1172818,2018-12-05,13475,False,Summit White,CHEVROLET,Cruze,5,106.3,4,4
1172823,2018-09-13,22995,False,Quicksilver Metallic,BUICK,LaCrosse,5,114.4,4,4
1172858,2019-01-20,21980,False,Summit White,CHEVROLET,Impala,5,111.7,4,4
1172863,2018-12-09,15985,False,Silver Ice Metallic,CHEVROLET,Cruze,5,106.30,4,6
1172939,2019-02-23,16995,False,Summit White,CHEVROLET,Malibu,5,111.4,4,4
1172943,2018-12-05,13500,False,Pepperdust,CHEVROLET,Cruze,5,106.3,4,4
1172987,2019-03-03,19985,False,Pepperdust,CHEVROLET,Malibu,5,111.4,4,4
1173047,2019-02-23,13995,False,Summit White,CHEVROLET,Cruze,5,106.30,4,6
1173104,2019-03-03,24985,False,Red Quartz Tintcoat,BUICK,LaCrosse,5,114.4,4,4
1173139,2019-03-03,20585,False,Summit White,CHEVROLET,Impala,5,111.7,4,4
1173145,2019-02-23,16982,False,Summit White,CHEVROLET,Malibu,5,111.4,4,4
1173167,2017-08-26,13495,False,Tungsten,CHEVROLET,Cruze,5,106.3,4,4
1173185,2019-02-23,17585,False,Summit White,CHEVROLET,Malibu,5,111.4,4,4
1173262,2019-03-09,13895,False,Summit White,CHEVROLET,Cruze,5,106.3,4,4
1173277,2018-12-08,12987,False,Cajun Red Tintcoat,CHEVROLET,Cruze,5,106.3,4,4
1173285,2019-03-03,14380,False,Black,CHEVROLET,Cruze,5,106.30,4,6
1173292,2019-02-17,24895,False,Summit White,CHEVROLET,Malibu,5,111.4,4,4
1173311,2018-12-22,23495,False,Cajun Red Tintcoat,CHEVROLET,Impala,5,111.7,4,4
1173341,2019-01-20,14995,False,Nightfall Gray Metallic,CHEVROLET,Malibu,5,111.4,4,4
1173346,2018-10-28,19985,False,Summit White,BUICK,LaCrosse,5,114.4,4,4
1173475,2019-01-20,15895,False,Silver Ice Metallic,CHEVROLET,Cruze,5,106.3,4,4
1173537,2019-01-20,15495,False,Summit White,CHEVROLET,Malibu,5,111.4,4,4
1173562,2019-03-27,20885,False,Summit White,CHEVROLET,Impala,5,111.7,4,4
